age,campaign,pdays,emp.var.rate,cons.conf.idx,euribor3m,nr.employed,job_n,marital_n,education_n,default_n,housing_n,loan_n,contact_n,poutcome_n
38,1,999,1.4,-42.7,4.962,5228.1,2,0,1,0,0,0,1,0
39,1,999,-0.1,-42.0,4.191,5195.8,3,0,4,0,0,0,1,0
24,2,999,-1.8,-40.0,0.682,5008.7,10,1,1,0,1,0,1,0
38,1,999,-1.1,-50.8,1.031,4963.6,0,2,1,0,1,1,1,0
32,1,999,1.1,-36.4,4.857,5191.0,4,1,1,0,1,0,0,0
27,1,999,-1.8,-46.2,1.281,5099.1,3,0,1,0,1,0,1,0
29,3,999,1.1,-36.4,4.855,5191.0,3,1,1,0,0,0,0,0
47,2,999,1.4,-42.7,4.962,5228.1,4,0,3,0,1,0,1,0
46,1,999,-0.1,-42.0,4.191,5195.8,2,0,1,0,1,1,1,0
53,2,999,-0.1,-42.0,4.153,5195.8,6,0,5,0,1,0,1,0
43,2,999,1.4,-36.1,4.968,5228.1,6,0,5,0,1,0,1,0
30,5,999,1.1,-36.4,4.857,5191.0,1,1,1,0,0,0,0,0
38,1,999,-1.8,-46.2,1.344,5099.1,9,0,4,0,1,0,1,0
26,1,999,1.4,-42.7,4.963,5228.1,2,1,1,0,0,1,1,0
34,2,999,-1.8,-46.2,1.266,5099.1,4,1,5,0,0,0,1,0
53,1,999,1.4,-42.7,4.962,5228.1,3,0,5,0,0,1,1,0
33,2,999,1.1,-36.4,4.864,5191.0,3,1,3,0,1,1,0,0
51,2,999,1.4,-42.7,4.962,5228.1,2,2,5,0,1,0,1,0
47,3,999,1.4,-42.7,4.962,5228.1,4,2,1,0,0,0,0,0
32,2,999,-3.4,-29.8,0.803,5017.5,2,0,5,0,1,0,1,0
43,2,999,1.1,-36.4,4.864,5191.0,4,0,4,0,0,0,0,0
32,4,999,-1.8,-47.1,1.41,5099.1,3,2,0,0,0,0,1,0
42,4,999,-0.1,-42.0,4.12,5195.8,9,0,0,0,1,1,1,0
45,6,999,1.1,-36.4,4.856,5191.0,1,0,3,0,1,0,0,0
33,1,999,1.1,-36.4,4.857,5191.0,9,0,3,0,0,0,0,0
48,1,999,-1.8,-47.1,1.365,5099.1,9,0,5,0,0,0,1,0
64,2,6,-1.1,-37.5,0.878,4963.6,5,2,0,0,1,1,0,1
51,1,999,1.4,-36.1,4.963,5228.1,1,0,1,0,1,0,1,0
39,3,999,1.4,-36.1,4.964,5228.1,2,0,4,0,0,1,1,0
57,2,999,-1.8,-34.6,0.644,5008.7,5,0,1,0,1,0,1,0
39,3,999,1.4,-42.7,4.963,5228.1,4,0,1,0,0,0,1,0
37,5,999,1.4,-36.1,4.962,5228.1,2,0,5,0,1,0,1,0
30,1,999,-2.9,-31.4,0.881,5076.2,2,1,5,0,1,0,1,0
29,1,999,-2.9,-40.8,1.26,5076.2,4,1,5,0,1,0,1,0
57,5,12,-1.8,-46.2,1.244,5099.1,2,1,1,0,1,0,0,1
47,1,999,-1.8,-46.2,1.299,5099.1,3,0,0,0,1,0,1,0
41,1,999,-1.8,-47.1,1.466,5099.1,7,0,3,0,1,0,1,0
72,1,3,-1.8,-34.8,0.653,5008.7,5,0,4,0,0,0,1,1
21,3,999,-1.8,-46.2,1.25,5099.1,10,1,1,0,0,0,1,0
38,4,999,1.1,-36.4,4.86,5191.0,0,0,1,0,0,0,0,0
35,1,999,-0.1,-42.0,4.021,5195.8,2,1,5,0,1,1,1,0
33,2,999,-0.1,-42.0,4.153,5195.8,4,1,4,0,0,0,1,0
